state,city,area,weekly_income,working_hours_per_day,orders_per_day,shift_timing,rainfall_intensity,temperature_trend,disruption_frequency,location_risk_score,income_per_hour,activity_level,shift_risk,risk_score
Gujarat,Vadodara,Alkapuri,9775,6,14,afternoon,0.38,0.72,0.3,0.458,232.74,2.33,0.3,0.45
Gujarat,Vadodara,Alkapuri,7982,7,9,afternoon,0.38,0.72,0.3,0.458,162.9,1.29,0.3,0.429
Gujarat,Vadodara,Alkapuri,4263,10,30,morning,0.38,0.72,0.3,0.458,60.9,3.0,0.2,0.458
Gujarat,Vadodara,Alkapuri,7836,11,14,afternoon,0.38,0.72,0.3,0.458,101.77,1.27,0.3,0.428
Gujarat,Vadodara,Alkapuri,9248,11,32,morning,0.38,0.72,0.3,0.458,120.1,2.91,0.2,0.456
Gujarat,Vadodara,Alkapuri,3156,11,25,night,0.38,0.72,0.3,0.458,40.99,2.27,0.7,0.468
Gujarat,Vadodara,Alkapuri,4051,5,31,afternoon,0.38,0.72,0.3,0.458,115.74,6.2,0.3,0.503
Gujarat,Vadodara,Alkapuri,7328,4,17,evening,0.38,0.72,0.3,0.458,261.71,4.25,0.6,0.503
Gujarat,Vadodara,Alkapuri,7204,12,25,afternoon,0.38,0.72,0.3,0.458,85.76,2.08,0.3,0.445
Gujarat,Vadodara,Alkapuri,6191,12,14,afternoon,0.38,0.72,0.3,0.458,73.7,1.17,0.3,0.426
Gujarat,Vadodara,Alkapuri,6401,12,8,night,0.38,0.72,0.3,0.458,76.2,0.67,0.7,0.436
Gujarat,Vadodara,Alkapuri,5201,4,21,evening,0.38,0.72,0.3,0.458,185.75,5.25,0.6,0.518
Gujarat,Vadodara,Alkapuri,8744,11,29,evening,0.38,0.72,0.3,0.458,113.56,2.64,0.6,0.471
Gujarat,Vadodara,Alkapuri,9373,9,16,afternoon,0.38,0.72,0.3,0.458,148.78,1.78,0.3,0.439
Gujarat,Vadodara,Alkapuri,7371,12,25,afternoon,0.38,0.72,0.3,0.458,87.75,2.08,0.3,0.445
Gujarat,Vadodara,Alkapuri,3291,12,22,morning,0.38,0.72,0.3,0.458,39.18,1.83,0.2,0.435
Gujarat,Vadodara,Alkapuri,3501,11,16,morning,0.38,0.72,0.3,0.458,45.47,1.45,0.2,0.427
Gujarat,Vadodara,Alkapuri,3870,11,33,evening,0.38,0.72,0.3,0.458,50.26,3.0,0.6,0.478
Gujarat,Vadodara,Alkapuri,7196,8,13,morning,0.38,0.72,0.3,0.458,128.5,1.62,0.2,0.43
Gujarat,Vadodara,Alkapuri,8904,7,8,afternoon,0.38,0.72,0.3,0.458,181.71,1.14,0.3,0.426
Gujarat,Vadodara,Alkapuri,5634,12,35,afternoon,0.38,0.72,0.3,0.458,67.07,2.92,0.3,0.461
